User_ID,Region,Cohort,Games_Played,Hours_Played,Days_Active,Active_Rate,Average_Games_Per_Day,Game_Age_Days,Payment_Method,Declines,Payouts,Checkouts,WMR_Automation_Flag,Offer_Taken,ReRepair_7D,ReRepair_30D,ReRepair_90D,Data_Refreshed_CSDW,Data_Refreshed_LENS
USR000000,USA,PCGP_3F1,80,134.38,18,0.35,4.444444444444445,297,Debit Card,3,166.54,6,No,No,3,1,7,5PM,8AM
USR000001,Canada,Ultimate,32,48.23,24,0.47,1.3333333333333333,902,Gift Card,2,16.76,14,Yes,No,0,8,1,5PM,8AM
USR000002,Canada,Past_Offers_2,42,2.89,10,0.24,4.2,74,Gift Card,3,390.72,1,No,No,0,5,3,5PM,8AM
USR000003,Mexico,Past_Offers_1,61,122.53,31,0.8,1.967741935483871,53,Credit Card,0,84.81,5,No,Yes,1,4,0,5PM,8AM
USR000004,Brazil,Past_Offers_1,4,48.7,30,0.6,0.13333333333333333,963,PayPal,0,69.43,5,Yes,No,4,5,9,5PM,8AM
USR000005,Brazil,Ultimate,59,197.1,25,0.9,2.36,112,Credit Card,3,437.04,10,No,No,2,2,6,5PM,8AM
USR000006,Brazil,Ultimate,16,58.65,6,0.9,2.6666666666666665,334,Crypto,0,460.28,15,No,Yes,2,8,11,5PM,8AM
USR000007,Mexico,Ultimate,38,81.53,24,0.31,1.5833333333333333,921,Debit Card,1,254.45,12,No,Yes,0,4,8,5PM,8AM
USR000008,Canada,Past_Offers_1,83,128.07,13,0.64,6.384615384615385,50,Crypto,1,85.77,10,Yes,Yes,0,5,14,5PM,8AM
USR000009,USA,PCGP_3F1,37,158.05,29,0.45,1.2758620689655173,839,Crypto,0,497.25,14,No,No,3,8,7,5PM,8AM
USR000010,Brazil,Ultimate,55,114.79,10,0.41,5.5,577,Debit Card,3,14.52,17,Yes,No,2,7,8,5PM,8AM
USR000011,Canada,Past_Offers_1,1,125.8,13,0.68,0.07692307692307693,814,Debit Card,4,127.84,10,No,No,1,4,9,5PM,8AM
USR000012,Canada,PCGP_3F1,99,120.46,11,0.46,9.0,352,Credit Card,1,425.14,18,Yes,No,1,6,5,5PM,8AM
USR000013,Canada,Past_Offers_1,72,159.98,19,0.73,3.789473684210526,136,Credit Card,3,182.23,1,Yes,No,1,7,10,5PM,8AM
USR000014,Mexico,PCGP_3F1,76,31.31,7,0.43,10.857142857142858,271,Credit Card,2,399.38,2,No,No,1,7,7,5PM,8AM
USR000015,ROLA,Past_Offers_2,64,115.54,31,0.62,2.064516129032258,378,Credit Card,2,368.96,4,Yes,Yes,4,8,11,5PM,8AM
USR000016,Brazil,PCGP_3F1,2,173.76,23,0.26,0.08695652173913043,490,Debit Card,1,75.06,8,No,No,3,3,2,5PM,8AM
USR000017,USA,Ultimate,33,94.73,19,0.99,1.736842105263158,236,Debit Card,0,14.9,14,Yes,Yes,1,8,8,5PM,8AM
USR000018,Canada,Past_Offers_1,89,53.3,18,0.59,4.944444444444445,659,Debit Card,3,490.19,8,No,Yes,4,3,11,5PM,8AM
USR000019,USA,Past_Offers_2,84,122.54,26,0.64,3.230769230769231,138,Debit Card,2,254.93,18,No,No,1,7,5,5PM,8AM
USR000020,Brazil,Past_Offers_2,50,113.19,8,0.79,6.25,45,Debit Card,2,487.57,11,Yes,No,4,7,5,5PM,8AM
USR000021,Mexico,Past_Offers_2,10,101.66,15,0.24,0.6666666666666666,819,Crypto,1,364.76,14,No,No,2,7,11,5PM,8AM
USR000022,USA,Ultimate,69,198.0,26,0.14,2.6538461538461537,271,PayPal,4,228.62,8,No,No,3,8,8,5PM,8AM
USR000023,Brazil,Past_Offers_1,41,80.57,8,0.2,5.125,417,Crypto,3,260.34,12,Yes,Yes,1,1,13,5PM,8AM
USR000024,Canada,PCGP_3F1,79,141.89,11,0.21,7.181818181818182,560,Crypto,3,11.84,17,No,No,4,4,12,5PM,8AM
USR000025,Mexico,Ultimate,41,185.88,9,0.82,4.555555555555555,883,PayPal,3,434.79,10,Yes,Yes,0,9,7,5PM,8AM
USR000026,ROLA,Past_Offers_1,46,7.1,28,0.72,1.6428571428571428,838,Credit Card,4,348.51,13,No,No,0,3,10,5PM,8AM
USR000027,ROLA,Past_Offers_1,97,173.69,23,0.52,4.217391304347826,300,Debit Card,1,87.29,4,Yes,No,2,4,11,5PM,8AM
USR000028,Canada,Past_Offers_2,94,29.14,26,0.43,3.6153846153846154,113,Debit Card,1,367.51,14,Yes,No,1,5,9,5PM,8AM
USR000029,Mexico,Past_Offers_2,74,96.49,28,0.94,2.642857142857143,741,PayPal,2,209.35,7,No,Yes,2,1,5,5PM,8AM
USR000030,Brazil,Past_Offers_1,25,175.99,27,0.6,0.9259259259259259,749,PayPal,2,23.71,17,Yes,No,0,5,5,5PM,8AM
USR000031,USA,Past_Offers_2,89,112.53,27,0.72,3.2962962962962963,905,Debit Card,4,228.03,1,Yes,Yes,3,7,14,5PM,8AM
USR000032,ROLA,Past_Offers_2,35,130.58,26,0.6,1.3461538461538463,93,PayPal,0,446.87,7,Yes,Yes,2,2,11,5PM,8AM
USR000033,Mexico,Past_Offers_2,48,19.19,18,0.15,2.6666666666666665,569,Gift Card,1,341.49,17,No,Yes,2,4,11,5PM,8AM
USR000034,Canada,Past_Offers_1,74,57.3,21,0.25,3.5238095238095237,872,PayPal,2,112.08,12,Yes,No,4,0,10,5PM,8AM
USR000035,Brazil,Ultimate,93,188.34,17,0.86,5.470588235294118,829,Credit Card,3,353.04,14,Yes,Yes,1,9,1,5PM,8AM
USR000036,ROLA,Past_Offers_2,91,51.5,12,0.78,7.583333333333333,512,Gift Card,2,352.0,4,Yes,No,3,8,9,5PM,8AM
USR000037,Brazil,Past_Offers_2,26,33.69,17,0.15,1.5294117647058822,958,Crypto,4,132.86,8,Yes,Yes,1,0,0,5PM,8AM
USR000038,Mexico,Past_Offers_1,84,24.24,25,0.88,3.36,41,Gift Card,3,243.98,7,Yes,Yes,4,7,3,5PM,8AM
USR000039,Mexico,PCGP_3F1,61,151.05,13,0.81,4.6923076923076925,395,Crypto,3,247.96,13,Yes,Yes,3,9,8,5PM,8AM
USR000040,Brazil,Ultimate,21,124.07,26,0.33,0.8076923076923077,675,PayPal,1,429.54,8,No,No,3,6,6,5PM,8AM
USR000041,Mexico,Past_Offers_1,86,163.13,2,0.26,43.0,394,Gift Card,1,251.47,10,Yes,Yes,3,5,2,5PM,8AM
USR000042,USA,PCGP_3F1,25,58.93,21,0.31,1.1904761904761905,869,Debit Card,4,231.95,6,No,No,4,7,6,5PM,8AM
USR000043,ROLA,PCGP_3F1,81,64.7,8,0.83,10.125,974,PayPal,4,438.96,5,No,Yes,2,7,13,5PM,8AM
USR000044,ROLA,Past_Offers_2,57,73.91,11,0.36,5.181818181818182,519,Debit Card,0,69.25,11,Yes,Yes,2,1,13,5PM,8AM
USR000045,Mexico,Past_Offers_2,62,120.36,2,0.65,31.0,495,Gift Card,0,120.63,19,No,Yes,4,2,11,5PM,8AM
USR000046,ROLA,PCGP_3F1,70,35.52,8,0.79,8.75,410,Crypto,3,34.58,1,Yes,Yes,4,3,8,5PM,8AM
